innovation,integrity,quality,respect,teamwork,document_length,Doc_ID
122,4,37,24,9,2649,5544917
53,15,69,15,7,3524,5545020
67,17,49,14,15,2958,5545028
37,7,51,1,3,1943,5545042
50,2,60,2,9,2434,5545054
62,7,83,13,11,2989,5545085
82,12,55,12,24,2460,5545105
84,11,53,22,22,3503,5545114
36,3,27,0,5,1939,5545116
61,13,21,12,14,2742,5545118
89,7,46,7,17,2474,5545119
945,172,993,230,152,22536,5545131
27,37,18,11,11,1174,5545148
101,34,114,28,16,5648,5545570
30,10,27,3,8,2069,5545659
20,8,21,3,8,1691,5545662
74,15,34,9,8,3782,5546028
29,4,24,13,8,778,5546058
5,1,1,0,1,201,5546064
11,0,9,0,4,447,5546068
3,0,2,0,2,56,5546070
39,5,44,4,9,2559,5547500
17,3,22,4,2,1234,5547506
86,12,81,15,20,4493,5548234
21,12,31,5,5,972,5548285
26,13,38,8,5,2190,5548290
42,6,53,11,11,2318,5548293
66,7,45,4,9,1732,5548331
70,28,45,26,6,3596,5549612
91,3,48,9,17,1360,5550183
22,5,35,8,9,1885,5550373
53,12,34,4,14,3800,5550486
34,11,28,6,13,2874,5550502
46,7,39,16,15,3776,5550505
63,15,61,6,12,3571,5550507
58,9,48,10,15,3551,5550511
222,13,302,25,40,7124,5550791
67,3,22,1,9,2445,5551440
31,25,32,5,20,2321,5552005
82,12,75,15,18,3364,5552007
35,3,9,6,6,2006,5552366
49,17,54,19,16,4110,5552416
53,8,32,2,8,2650,5552570
62,3,118,7,5,1989,5552641
37,6,47,3,17,2040,5552642
64,10,53,8,14,2452,5552660
54,7,14,4,11,2034,5552706
33,16,58,13,18,3782,5553230
32,2,45,6,4,2071,5553256
24,4,36,2,3,962,5553258
23,0,32,5,7,1134,5553261
29,1,40,3,13,2110,5553264
33,5,25,6,8,1803,5553267
35,3,44,4,2,2714,5553279
31,3,38,11,5,1901,5553303
59,0,53,5,10,1865,5553621
38,2,22,4,3,581,5553654
146,2,79,22,11,1803,5554206
95,5,47,12,12,2814,5554267
78,4,38,10,5,2074,5554268
84,2,52,11,10,2341,5554275
133,23,74,10,14,2502,5554276
73,6,51,13,19,2716,5554281
65,22,42,9,8,2714,5554303
97,13,60,24,22,3125,5554306
40,5,58,12,13,1963,5554345
12,7,37,0,12,1402,5554347
34,1,44,3,13,1323,5554354
21,3,28,2,7,1044,5554356
41,12,76,9,13,3575,5554443
32,12,37,6,13,2082,5555047
18,14,46,8,14,2441,5555051
29,8,31,5,5,2580,5555053
31,10,33,0,11,2019,5555055
100,15,36,8,21,3208,5555535
72,9,31,2,8,1683,5555536
71,35,46,13,13,2760,5555538
131,19,71,7,18,4192,5555692
105,19,106,11,21,5216,5555709
31,2,25,2,3,2595,5555710
33,13,52,5,7,2752,5555712
42,5,41,5,8,3214,5555713
5,0,28,0,7,841,5555722
2,1,5,0,7,551,5555725
1,0,17,0,0,459,5555727
9,0,30,1,7,731,5555729
17,7,8,2,5,1257,5556254
14,4,12,0,1,1094,5556256
30,2,30,9,6,1846,5556261
37,7,21,3,7,2423,5556266
25,11,31,5,5,2998,5556302
46,7,27,3,9,2724,5556306
28,3,24,5,12,3095,5556308
23,4,34,3,3,2577,5556310
20,1,8,4,0,427,5556360
73,13,51,9,16,2492,5556426
39,10,10,6,5,2006,5557269
18,15,24,1,6,1797,5557309
22,26,43,2,10,2418,5557310
32,25,70,5,11,3298,5557313
37,22,50,5,7,2962,5557314
101,10,34,4,19,2684,5557320
120,18,67,4,17,2681,5557326
0,0,0,0,0,32,5557327
99,0,73,6,26,1955,5557342
5,5,7,2,2,856,5557343
56,11,40,8,10,2662,5557550
88,10,89,4,15,3624,5557553
74,6,49,11,10,2143,5557554
59,6,41,6,7,2481,5557558
49,4,37,10,11,2675,5557562
63,3,66,4,7,2940,5557566
52,7,29,9,9,2750,5557568
28,9,15,9,4,1109,5557572
46,30,53,4,16,1828,5557677
25,13,34,2,6,2555,5557930
11,1,9,4,2,866,5558025
5,0,4,0,2,264,5558089
41,3,19,0,26,2964,5558096
57,2,70,11,7,2063,5558105
85,3,98,12,2,2367,5558117
69,2,84,1,6,2575,5558121
80,12,110,15,35,3227,5558172
73,5,93,19,29,3049,5558188
85,14,90,17,21,3039,5558190
17,1,11,5,0,1438,5558374
31,2,33,7,10,1628,5558491
43,62,60,31,31,2893,5558542
25,8,34,3,3,1902,5560930
13,2,23,0,0,932,5560960
26,6,28,4,9,1173,5560970
21,0,9,1,2,1044,5560976
121,16,99,15,16,3741,5561030
123,22,96,10,19,3360,5561150
34,12,36,4,4,2291,5561166
16,7,27,2,16,1708,5561169
58,19,51,14,12,3423,5561170
78,12,47,6,16,3361,5561175
12,4,5,13,6,589,5562769
15,8,12,2,4,1240,5562781
14,8,12,1,8,1624,5562783
30,1,20,3,0,1714,5562792
58,5,27,1,6,1991,5562802
34,2,33,6,12,2622,5562835
49,12,57,9,14,2952,5562837
65,2,55,0,8,1651,5562918
2,0,0,0,0,32,5563282
0,0,0,0,0,39,5563284
23,3,17,2,3,1984,5563317
161,17,90,17,19,2656,5563339
86,18,75,12,11,2370,5563347
72,3,41,10,11,1943,5563351
76,9,42,17,9,1673,5563355
26,4,33,7,17,1041,5563358
41,5,34,9,14,1195,5563360
64,8,73,4,16,3732,5563362
19,13,28,7,2,2731,5563430
30,14,52,5,9,4061,5563431
53,12,40,3,3,1949,5563443
39,21,62,2,6,2862,5563445
13,2,9,0,4,772,5563446
29,25,26,35,12,1574,5563487
47,4,43,14,11,1980,5563581
26,3,80,3,15,2766,5563591
25,52,17,12,16,2627,5563971
48,10,41,6,4,2680,5564079
1,0,4,3,4,748,5564113
23,5,19,5,6,931,5564117
7,4,6,7,10,1050,5564119
12,4,12,6,12,1166,5564121
30,11,46,11,18,3874,5564122
28,13,68,8,9,2948,5564125
28,4,17,7,13,2577,5564127
26,7,20,3,9,1766,5564128
74,12,89,12,22,2208,5564135
31,17,36,20,18,1814,5564141
2,1,0,1,4,260,5564146
60,15,71,7,13,3279,5564183
56,10,96,11,9,3211,5564195
20,9,49,3,9,1375,5564198
13,0,12,0,1,841,5564211
50,7,51,3,4,2891,5564219
15,1,13,1,3,816,5564351
30,3,27,2,17,1421,5564493
21,3,24,6,13,1367,5564496
238,61,314,68,53,7459,5564515
121,105,84,82,44,4797,5564527
